Mmar,Aana,Plit,Udel,Aarc,Agal,Aolig,Aang,Ccal,Cpal,Lboc,Pdur,Salb,Scar,Stru,HYRIV_ID,ORD_STRA,S_CaCO3_av,ele_mt_cav,ele_mt_uav,ele_mt_cmn,ele_mt_cmx,slp_dg_cav,slp_dg_uav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_uyr,tmp_dc_cmn,tmp_dc_cmx,pre_mm_cyr,pre_mm_uyr,crp_pc_use,pst_pc_use,hft_ix_u09,continenta
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20608223,1,0,931,931,770,1212,54,54,77,117,117,42,209,1004,1004,6,3,43,16.67439189
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20601939,1,9,986,986,787,1663,51,51,114,114,114,34,208,689,689,17,10,48,17.48780774
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20588206,3,0,859,1093,854,868,7,39,8,119,106,33,215,440,499,42,29,118,18.24857661
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20583464,2,5,1090,1119,974,1137,48,36,30,103,102,20,200,522,524,75,14,71,18.04848361
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20576166,4,6,877,985,837,926,27,36,27,112,106,29,205,481,516,50,11,86,17.62864402
0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,20569100,4,0,920,1167,832,1019,32,78,23,106,93,25,195,526,615,12,19,79,16.96807549
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20559153,2,1,832,918,808,867,19,41,30,109,103,31,189,612,659,49,25,92,15.73791229
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20556537,2,4,989,1100,918,1067,33,47,66,101,94,25,180,672,729,27,40,96,15.46787051
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20566006,2,7,773,882,741,829,12,19,15,117,110,34,204,470,548,58,11,114,16.9826281
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,20559254,4,0,846,1293,831,921,13,118,27,111,85,31,197,577,842,13,23,79,16.59150554
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20558256,2,0,1011,1083,898,1227,46,53,75,101,97,24,185,695,738,4,3,60,16.12111067
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,20580238,6,0,669,968,637,757,25,35,4,124,108,40,215,358,514,51,18,119,17.49930805
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,20546572,2,0,1309,1468,1130,1671,136,162,80,83,73,13,159,869,936,11,27,80,14.46263278
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,20554885,4,1,1072,1355,948,1212,86,133,61,98,81,22,181,705,880,6,15,50,15.91409278
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20570265,3,6,1100,1285,1055,1190,46,84,21,98,88,19,188,584,650,2,7,125,16.94859046
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20574542,3,0,1091,1127,1001,1194,48,55,18,100,98,20,193,553,571,4,3,103,17.43948252
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,20579250,4,1,915,1087,879,981,35,46,41,112,101,29,206,485,553,11,7,79,17.83137527
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,20588806,3,0,698,764,602,742,32,17,102,123,120,43,213,688,617,10,15,71,17.04952434
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20567979,1,12,791,791,761,835,8,8,26,117,117,33,204,461,461,69,12,204,17.19700442
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20595525,3,0,911,1226,844,1039,26,53,23,117,101,34,213,387,461,39,21,120,17.96607197
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20552661,3,0,945,1127,892,1112,55,88,20,100,90,30,176,755,835,12,50,158,14.62040904
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20599366,2,4,886,935,811,985,27,29,49,118,116,37,214,533,541,3,19,69,17.68819843
0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,20555980,3,1,924,1276,841,1067,50,132,33,106,85,29,189,615,811,9,21,87,15.96088337
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20548681,2,0,1259,1569,1161,1528,208,195,60,86,68,15,165,820,959,8,20,38,14.93779314
